"Charity","EffectiveAltruism","EffectiveAltruism2","WorkStatus","Profession","Degree","Age","Income","Year","CharityLog","IncomeLog","Bachelors","Highschool","Masters","MDJDotherprofessionaldegree","None","Other","PhD.","twoyeardegree","Academicsontheteachingside","Forprofitwork","Governmentwork","Homemaker","Independentlywealthy","Nonprofitwork","Selfemployed","Student","Unemployed"
30,FALSE,NA,"Forprofit work","Computers (practical: IT programming etc.)","Bachelors",16,NA,"2013",3.43398720448515,NA,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,FALSE,NA,"Unemployed","Computers (practical: IT programming etc.)","Ph D.",17,400,"2013",0,5.99396142730657,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0,TRUE,NA,"Student","Other","None",20,NA,"2013",0,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
NA,TRUE,NA,"Student","Psychology","Bachelors",30,NA,"2013",NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
125,FALSE,NA,"Student","Mathematics","High school",25,140000,"2013",4.83628190695148,11.8494048444231,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,TRUE,NA,"Student","Computers (other academic computer science)","two year degree",21,7200,"2013",0,8.88197518424887,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
500,FALSE,NA,"Unemployed","Computers (AI)","Bachelors",20,NA,"2013",6.21660610108486,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,FALSE,NA,"Nonprofit work","Other","High school",27,NA,"2013",0,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NA,FALSE,NA,"Student","Other","High school",39,NA,"2013",NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
NA,NA,NA,"Student","Physics","Bachelors",22,NA,"2013",NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2000,FALSE,NA,"Unemployed",NA,"None",31,105000,"2013",7.60140233458373,11.5617251529038,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
0,FALSE,NA,"Selfemployed","Computers (practical: IT programming etc.)","Bachelors",36,0,"2013",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1000,FALSE,NA,"Forprofit work","Statistics","Ph D.",37,30000,"2013",6.90875477931522,10.3089859934221,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
50,FALSE,NA,"Nonprofit work","Other ""social science""","Bachelors",27,40000,"2013",3.93182563272433,10.5966597327836,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NA,TRUE,NA,"Student","Computers (practical: IT programming etc.)","High school",19,NA,"2013",NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
300,FALSE,NA,"Nonprofit work","Other","MDJDother professional degree",28,NA,"2013",5.70711026474888,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
NA,NA,NA,"Forprofit work","Computers (practical: IT programming etc.)","Bachelors",24,NA,"2013",NA,NA,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
300,FALSE,NA,"Forprofit work","Finance / Economics","Bachelors",28,50000,"2013",5.70711026474888,10.8197982842103,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
240,FALSE,NA,"Student","Computers (other academic computer science)","Masters",30,40000,"2013",5.48479693349065,10.5966597327836,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,FALSE,NA,"Forprofit work","Computers (practical: IT programming etc.)","Bachelors",20,NA,"2013",0,NA,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
NA,NA,NA,"Academics on the teaching side","Other ""social science""","Ph D.",27,50000,"2013",NA,10.8197982842103,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
864,FALSE,NA,"Unemployed","Other","High school",27,10000,"2013",6.76272950693188,9.21044036697652,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
985,TRUE,NA,"Student","Physics","Bachelors",21,9853,"2013",6.89365635460264,9.19563274310391,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
30,NA,NA,"Student","Other","Bachelors",25,150,"2013",3.43398720448515,5.01727983681492,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,FALSE,NA,"Forprofit work","Engineering","High school",32,NA,"2013",0,NA,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,FALSE,NA,"Student","Computers (other academic computer science)","Bachelors",35,135000,"2013",0,11.8130374648005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6000,FALSE,NA,"Student","Computers (other academic computer science)","Bachelors",45,150000,"2013",8.69968140098951,11.9183972397228,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,TRUE,NA,"Student","Computers (other academic computer science)","High school",28,110000,"2013",0,11.6082447356423,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20,TRUE,NA,"Student","Philosophy","High school",24,40000,"2013",3.04452243772342,10.5966597327836,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20,FALSE,NA,"Forprofit work","Medicine","MDJDother professional degree",28,1e+05,"2013",3.04452243772342,11.5129354649202,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
4400,TRUE,NA,"Forprofit work","Computers (practical: IT programming etc.)","Bachelors",47,NA,"2013",8.38958706681109,NA,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
NA,TRUE,NA,"Forprofit work","Business","Masters",16,NA,"2013",NA,NA,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,FALSE,NA,"Academics on the teaching side","Mathematics","Bachelors",25,12000,"2013",0,9.39274525863144,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,TRUE,NA,"Student","Other ""social science""","two year degree",27,70000,"2013",0,11.1562648066437,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
500,TRUE,NA,"Selfemployed","Other","Bachelors",25,NA,"2013",6.21660610108486,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
50,TRUE,NA,"Student","Mathematics","Masters",53,17200,"2013",3.93182563272433,9.75272280064639,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,TRUE,NA,"Independently wealthy","Philosophy","Bachelors",20,NA,"2013",0,NA,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20,NA,NA,"Student","Other","Other",44,NA,"2013",3.04452243772342,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,TRUE,NA,"Student","Philosophy","Masters",19,200,"2013",0.693147180559945,5.30330490805908,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,FALSE,NA,"Forprofit work","Computers (practical: IT programming etc.)","Bachelors",24,NA,"2013",0,NA,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
200,FALSE,NA,"Student","Engineering","Masters",46,76000,"2013",5.30330490805908,11.2385017770766,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
NA,NA,NA,"Forprofit work","Computers (practical: IT programming etc.)","Masters",24,NA,"2013",NA,NA,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
400,FALSE,NA,"Forprofit work","Computers (practical: IT programming etc.)","Bachelors",29,1e+05,"2013",5.99396142730657,11.5129354649202,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,FALSE,NA,"Student","Engineering","High school",27,NA,"2013",0,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
400,TRUE,NA,"Student","Computers (other academic computer science)","Bachelors",42,90000,"2013",5.99396142730657,11.4075760603618,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
400,FALSE,NA,"Forprofit work","Medicine","Bachelors",32,40000,"2013",5.99396142730657,10.5966597327836,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,NA,NA,"Student","Computers (other academic computer science)","High school",28,NA,"2013",0,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
270,TRUE,NA,"Unemployed","Mathematics","High school",27,27000,"2013",5.6021188208797,10.2036291813376,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NA,NA,NA,"Unemployed","Philosophy","Ph D.",22,NA,"2013",NA,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
NA,NA,NA,"Nonprofit work","Other","Masters",21,NA,"2013",NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1000,TRUE,NA,"Forprofit work","Computers (other academic computer science)","Bachelors",19,10000,"2013",6.90875477931522,9.21044036697652,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,FALSE,NA,"Unemployed","Philosophy","Bachelors",37,25000,"2013",0,10.1266711030504,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
200,FALSE,NA,"Student","Physics","Masters",22,55000,"2013",5.30330490805908,10.9151066458675,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
NA,TRUE,NA,"Forprofit work","Engineering","Bachelors",18,1400,"2013",NA,7.24494154633701,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11975,TRUE,NA,"Forprofit work","Computers (practical: IT programming etc.)","Ph D.",23,106750,"2013",9.39065992609946,11.5782542987285,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
30,TRUE,NA,"Student","Biology","High school",24,9000,"2013",3.43398720448515,9.10509096125709,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
NA,TRUE,NA,"Student","Computers (other academic computer science)","Masters",23,NA,"2013",NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,FALSE,NA,"Forprofit work","Other","High school",25,22000,"2013",0,9.99884318585288,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
300,TRUE,NA,"Unemployed",NA,"High school",25,40000,"2013",5.70711026474888,10.5966597327836,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,FALSE,NA,"Forprofit work","Computers (practical: IT programming etc.)","Bachelors",25,0,"2013",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
NA,TRUE,NA,"Academics on the teaching side","Mathematics","Ph D.",27,NA,"2013",NA,NA,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
NA,NA,NA,"Selfemployed","Computers (practical: IT programming etc.)","Bachelors",18,NA,"2013",NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,TRUE,NA,"Student","Other","High school",22,0,"2013",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,FALSE,NA,"Selfemployed","Computers (practical: IT programming etc.)","Masters",23,50000,"2013",0,10.8197982842103,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20500,TRUE,NA,"Student","Medicine","Bachelors",24,110000,"2013",9.92822894442457,11.6082447356423,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,FALSE,NA,"Selfemployed","Computers (practical: IT programming etc.)","Bachelors",33,20000,"2013",0,9.90353755128617,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
600,TRUE,NA,"Student","Statistics","Bachelors",26,25000,"2013",6.39859493453521,10.1266711030504,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,FALSE,NA,"Student","Mathematics","two year degree",25,NA,"2013",0,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
3380,TRUE,NA,"Unemployed","Computers (practical: IT programming etc.)","High school",29,70000,"2013",8.12592680270789,11.1562648066437,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,FALSE,NA,"Student","Physics","High school",18,0,"2013",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,TRUE,NA,"Government work","Other","Masters",NA,50000,"2013",0,10.8197982842103,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
300,FALSE,NA,"Academics on the teaching side","Physics","Ph D.",NA,60000,"2013",5.70711026474888,11.002116507732,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
200,TRUE,NA,"Student","Other","High school",26,14000,"2013",5.30330490805908,9.54688403461792,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
NA,NA,NA,"Unemployed","Other","Bachelors",24,NA,"2013",NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NA,NA,NA,"Forprofit work","Finance / Economics","Ph D.",23,NA,"2013",NA,NA,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
400,TRUE,NA,"Government work","Engineering","Masters",34,75000,"2013",5.99396142730657,11.2252567257629,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
100,FALSE,NA,"Student","Law","Bachelors",61,30000,"2013",4.61512051684126,10.3089859934221,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
100,FALSE,NA,"Selfemployed","Computers (practical: IT programming etc.)","High school",23,NA,"2013",4.61512051684126,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20,TRUE,NA,"Forprofit work","Computers (practical: IT programming etc.)","Masters",22,13000,"2013",3.04452243772342,9.47278155656217,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
88,FALSE,NA,"Student","Mathematics","High school",22,3050,"2013",4.48863636973214,8.02322468471667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
NA,FALSE,NA,"Forprofit work","Computers (practical: IT programming etc.)","two year degree",42,NA,"2013",NA,NA,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0,TRUE,NA,"Student","Mathematics","None",21,3000,"2013",0,8.00670084544037,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0,TRUE,NA,"Student","Mathematics","None",23,NA,"2013",0,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
NA,FALSE,NA,"Student","Other ""social science""","None",21,NA,"2013",NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
NA,NA,NA,"Student","Engineering","High school",30,NA,"2013",NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,TRUE,NA,"Nonprofit work","Psychology","Masters",20,8000,"2013",0,8.98732181285012,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
100,FALSE,NA,"Forprofit work","Computers (practical: IT programming etc.)","High school",26,70000,"2013",4.61512051684126,11.1562648066437,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
100,FALSE,NA,"Student","Finance / Economics","High school",18,8000,"2013",4.61512051684126,8.98732181285012,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
600,FALSE,NA,"Student","Other ""hard science""","High school",23,1200,"2013",6.39859493453521,7.09090982207998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
200,TRUE,NA,"Student","Mathematics","Bachelors",19,21000,"2013",5.30330490805908,9.95232533461943,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
734,FALSE,NA,"Forprofit work","Computers (practical: IT programming etc.)","Masters",27,60000,"2013",6.59987049921284,11.002116507732,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,FALSE,NA,"Student","Psychology","Bachelors",19,NA,"2013",0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2500,TRUE,NA,"Academics on the teaching side","Biology","Ph D.",23,NA,"2013",7.82444593087762,NA,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
50,NA,NA,"Unemployed","Engineering","Masters",19,NA,"2013",3.93182563272433,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,FALSE,NA,"Academics on the teaching side","Other","Masters",18,0,"2013",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,FALSE,NA,"Government work","Law","MDJDother professional degree",29,NA,"2013",0,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0,FALSE,NA,"Student","Finance / Economics","High school",20,5000,"2013",0,8.5173931714189,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,FALSE,NA,"Forprofit work","Computers (practical: IT programming etc.)","Masters",36,1e+05,"2013",0,11.5129354649202,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1050,TRUE,NA,"Academics on the teaching side","Physics","Masters",23,3000,"2013",6.95749737087695,8.00670084544037,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NA,TRUE,NA,"Forprofit work","Computers (practical: IT programming etc.)","Masters",18,NA,"2013",NA,NA,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
NA,NA,NA,"Forprofit work","Computers (practical: IT programming etc.)","Bachelors",26,NA,"2013",NA,NA,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
NA,NA,NA,"Student","Computers (practical: IT programming etc.)","High school",28,NA,"2013",NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
NA,NA,NA,"Forprofit work","Biology","Ph D.",20,NA,"2013",NA,NA,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
200,FALSE,NA,"Forprofit work","Business","two year degree",24,20000,"2013",5.30330490805908,9.90353755128617,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0,FALSE,NA,"Student","Computers (other academic computer science)","High school",24,13000,"2013",0,9.47278155656217,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2500,TRUE,NA,"Unemployed","Computers (practical: IT programming etc.)","High school",36,55000,"2013",7.82444593087762,10.9151066458675,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,FALSE,NA,"Student","Computers (other academic computer science)","Bachelors",21,NA,"2013",0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,TRUE,NA,"Forprofit work","Computers (practical: IT programming etc.)","Bachelors",30,24000,"2013",0,10.0858507751287,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,FALSE,NA,"Forprofit work","Computers (practical: IT programming etc.)","High school",18,NA,"2013",0,NA,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20,NA,NA,"Forprofit work","Computers (practical: IT programming etc.)","Bachelors",24,NA,"2013",3.04452243772342,NA,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3300,TRUE,NA,"Forprofit work","Computers (practical: IT programming etc.)","High school",32,50000,"2013",8.10198073185319,10.8197982842103,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
NA,NA,NA,"Forprofit work","Computers (practical: IT programming etc.)","Masters",22,NA,"2013",NA,NA,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,FALSE,NA,"Student",NA,"None",29,100,"2013",0,4.61512051684126,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
NA,NA,NA,"Unemployed","Computers (practical: IT programming etc.)","Bachelors",28,NA,"2013",NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100,TRUE,NA,"Academics on the teaching side","Mathematics","Ph D.",26,10000,"2013",4.61512051684126,9.21044036697652,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
400,TRUE,NA,"Nonprofit work","Law","Masters",27,NA,"2013",5.99396142730657,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
100,FALSE,NA,"Unemployed","Other","High school",25,NA,"2013",4.61512051684126,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,FALSE,NA,"Unemployed","Computers (practical: IT programming etc.)","two year degree",31,NA,"2013",0,NA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
NA,FALSE,NA,"Selfemployed","Statistics","High school",39,NA,"2013",NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,FALSE,NA,"Student","Physics","High school",23,NA,"2013",0,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
120,FALSE,NA,"Forprofit work","Medicine","two year degree",29,31000,"2013",4.79579054559674,10.3417747410115,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
90,FALSE,NA,"Student","Physics","Bachelors",33,10000,"2013",4.51085950651685,9.21044036697652,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
NA,FALSE,NA,"Forprofit work","Finance / Economics","two year degree",27,6000,"2013",NA,8.69968140098951,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
50,TRUE,NA,"Student","Engineering","Other",31,54742,"2013",3.93182563272433,10.9104047856235,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
100,FALSE,NA,"Forprofit work","Computers (practical: IT programming etc.)","Bachelors",25,15000,"2013",4.61512051684126,9.61587214452889,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
185,TRUE,NA,"Forprofit work","Computers (practical: IT programming etc.)","Masters",18,NA,"2013",5.2257466737132,NA,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
40,FALSE,NA,"Unemployed","Computers (practical: IT programming etc.)","Masters",24,22600,"2013",3.71357206670431,10.0257494320691,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NA,TRUE,NA,"Student","Computers (other academic computer science)","Bachelors",24,0,"2013",NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1000,FALSE,NA,"Unemployed","Statistics","Bachelors",58,110000,"2013",6.90875477931522,11.6082447356423,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,FALSE,NA,"Student","Computers (other academic computer science)","High school",22,NA,"2013",0,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,FALSE,NA,"Forprofit work","Computers (practical: IT programming etc.)","Masters",22,NA,"2013",0,NA,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,FALSE,NA,"Forprofit work","Mathematics","Masters",32,NA,"2013",0,NA,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,NA,NA,"Government work","Other","High school",21,NA,"2013",2.39789527279837,NA,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4000,FALSE,NA,"Forprofit work","Computers (practical: IT programming etc.)","Bachelors",36,2e+05,"2013",8.29429960885724,12.2060776455177,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,FALSE,NA,"Student","Mathematics","Bachelors",33,NA,"2013",0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
NA,NA,NA,"Selfemployed","Art","Bachelors",21,NA,"2013",NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
NA,NA,NA,"Forprofit work","Engineering","Masters",21,NA,"2013",NA,NA,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
50,FALSE,NA,"Unemployed","Other","High school",28,61000,"2013",3.93182563272433,11.0186455364637,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,FALSE,NA,"Nonprofit work","Computers (other academic computer science)","two year degree",35,12000,"2013",0,9.39274525863144,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
NA,NA,NA,"Student","Mathematics","High school",23,NA,"2013",NA,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
100,TRUE,NA,"Student","Neuroscience","High school",22,13000,"2013",4.61512051684126,9.47278155656217,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,FALSE,NA,"Selfemployed","Other","High school",30,NA,"2013",0,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
200,TRUE,NA,"Forprofit work","Computers (other academic computer science)","Bachelors",30,12000,"2013",5.30330490805908,9.39274525863144,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,FALSE,NA,"Forprofit work","Computers (practical: IT programming etc.)","High school",29,70,"2013",0,4.26267987704132,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
NA,NA,NA,"Academics on the teaching side","Biology","Bachelors",22,NA,"2013",NA,NA,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
100,TRUE,NA,"Student","Medicine","Bachelors",29,30000,"2013",4.61512051684126,10.3089859934221,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,FALSE,NA,"Forprofit work","Computers (practical: IT programming etc.)","Masters",23,6000,"2013",0,8.69968140098951,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,FALSE,NA,"Unemployed","Other","None",27,NA,"2013",0,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
NA,NA,NA,"Selfemployed","Computers (other academic computer science)","Bachelors",21,NA,"2013",NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
